,name,rating,review_date,reviewer,neighborhood,cuisine,review_link_1,review_link_2
0,Hanon,2 star,"May 21, 2019",Pete Wells,Williamsburg,Japanese,https://www.nytimes.com/2019/05/21/dining/hanon-review.html,https://www.nytimes.com/2019/05/21/dining/hanon-review.html?rref=collection%2Fcollection%2Frestaurant-guide
1,Del Posto,3 star,"May 14, 2019",Pete Wells,Chelsea,Italian,https://www.nytimes.com/2019/05/14/dining/del-posto-review-pete-wells.html,https://www.nytimes.com/2019/05/14/dining/del-posto-review-pete-wells.html?rref=collection%2Fcollection%2Frestaurant-guide
2,The Freakin Rican,1 star,"May 7, 2019",Pete Wells,Astoria,"Caribbean, Latin American",https://www.nytimes.com/2019/05/07/dining/the-freakin-rican-restaurant-review.html,https://www.nytimes.com/2019/05/07/dining/the-freakin-rican-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
3,Wayan,2 star,"April 23, 2019",Pete Wells,NoLIta,Indonesian,https://www.nytimes.com/2019/04/23/dining/wayan-restaurant-review.html,https://www.nytimes.com/2019/04/23/dining/wayan-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
4,Niche,1 star,"April 16, 2019",Pete Wells,Lower East Side,Japanese,https://www.nytimes.com/2019/04/16/dining/niche-review-mazemen.html,https://www.nytimes.com/2019/04/16/dining/niche-review-mazemen.html?rref=collection%2Fcollection%2Frestaurant-guide
5,Haenyeo,2 star,"April 9, 2019",Pete Wells,Park Slope,Korean,https://www.nytimes.com/2019/04/09/dining/haenyeo-restaurant-review-jenny-kwak.html,https://www.nytimes.com/2019/04/09/dining/haenyeo-restaurant-review-jenny-kwak.html?rref=collection%2Fcollection%2Frestaurant-guide
6,Standard Grill,2 star,"April 2, 2019",Pete Wells,West Village,American,https://www.nytimes.com/2019/04/02/dining/standard-grill-review.html,https://www.nytimes.com/2019/04/02/dining/standard-grill-review.html?rref=collection%2Fcollection%2Frestaurant-guide
7,Violet,1 star,"March 26, 2019",Pete Wells,East Village,"Italian, Pizza",https://www.nytimes.com/2019/03/26/dining/violet-pizza-review.html,https://www.nytimes.com/2019/03/26/dining/violet-pizza-review.html?rref=collection%2Fcollection%2Frestaurant-guide
8,Odo,3 star,"March 19, 2019",Pete Wells,Flatiron district,Japanese,https://www.nytimes.com/2019/03/19/dining/odo-restaurant-review.html,https://www.nytimes.com/2019/03/19/dining/odo-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
9,Cka Ka Qellu,2 star,"March 12, 2019",Pete Wells,Belmont,Eastern European ,https://www.nytimes.com/2019/03/12/dining/cka-ka-qellu-review.html,https://www.nytimes.com/2019/03/12/dining/cka-ka-qellu-review.html?rref=collection%2Fcollection%2Frestaurant-guide
10,Madame Vo BBQ,1 star,"March 5, 2019",Pete Wells,East Village,Vietnamese,https://www.nytimes.com/2019/03/05/dining/madame-vo-bbq-review.html,https://www.nytimes.com/2019/03/05/dining/madame-vo-bbq-review.html?rref=collection%2Fcollection%2Frestaurant-guide
